user_id,pseudo,join_date,xp,level,email,pronocoins_balance,last_daily_reward_date,tutorial_completed_reward_claimed,google_linked_reward_claimed,pseudo_created_reward_claimed,unlocked_pronos,bet_count,three_bets_reward_claimed,tiktok_follow_reward_claimed,x_follow_reward_claimed,instagram_follow_reward_claimed,telegram_channel_reward_claimed,telegram_chat_reward_claimed,last_ad_reward_timestamp,telegram_first_name,telegram_last_name,telegram_username
localUser_139976,User_localU,2025-05-30,5,1,,51,,true,false,false,,0,false,false,false,false,false,false,0.0,,,
localUser_416250,User_localU,2025-05-30,0,1,,50,,false,false,false,,0,false,false,false,false,false,false,0.0,,,
localUser_439280,User_localU,2025-05-30,5,1,,51,,true,false,false,,0,false,false,false,false,false,false,0.0,,,
